mode,config,dataset,label_pct,global_acc,f1_score,elapsed_s,relevance_mae,brier,div_corr,div_mae
mlhat,config_13,Electricity,5,0.7756815309622676,0.508195677119542,315.448154,0.0148540367096079,0.2298190958217138,0.9713468471924844,0.0208668965517241
mlhat,config_13,AGR_g,1,0.672050505050505,0.6160911959472323,541.503885,0.0170197329875004,0.2685758538978468,0.874149237500135,0.0189327586206896
mlhat,config_13,AGR_g,5,0.7613232323232323,0.7493993344516373,634.463318,0.0057387359982915,0.2382095814855131,0.9534545120422672,0.0097537931034482
mlhat,config_13,AGR_a,5,0.7334545454545455,0.7313053911458628,465.036226,0.0057373419492691,0.2914408748837954,0.9470287757241131,0.0165243678160919
mlhat,config_13,AGR_a,1,0.628020202020202,0.6218062600836088,466.283493,0.0163420709562317,0.2980195651888976,0.8846113103965609,0.018631724137931
mlhat,config_13,LED_a,1,0.4920606060606061,0.4726697699868792,432.737308,0.0125936019347124,0.2592414323714702,0.7524279881778841,0.0297424137931034
mlhat,config_13,LED_a,5,0.6340404040404041,0.6307783672913182,582.7583860000001,0.0064582415649064,0.2850954559568298,0.9401892879181868,0.0432811494252873
mlhat,config_13,LED_g,1,0.4004444444444444,0.3814812404683781,422.893946,0.0149219378053921,0.2289113513112963,0.8709642816940156,0.0306590804597701
mlhat,config_13,LED_g,5,0.5854444444444444,0.5821109987140723,553.8670970000001,0.005894611001835,0.2706308416983601,0.8842557309293086,0.0268502298850574
mlhat,config_13,RBF_m,1,0.7676767676767676,0.7452352899859326,444.624038,0.0168630229704539,0.2638750892387958,0.7160268246938443,0.0212354022988505
mlhat,config_13,RBF_m,5,0.8276161616161616,0.8085806538753237,535.674844,0.0089743400806823,0.2426013682206307,0.6978170756488238,0.0416714942528735
mlhat,config_13,RBF_f,1,0.7544141414141414,0.7304894312707803,438.898792,0.0164028596550316,0.2649351201526023,0.7450649701643419,0.0255514942528735
mlhat,config_13,RBF_f,5,0.7748080808080808,0.7534320687554736,535.0582909999999,0.0089301762593353,0.2539157315332325,0.8748597737473801,0.0137811494252873
mlhat,config_13,airlines,1,0.5857187169728614,0.4602473894512368,2257.579646,0.0061337731369134,0.3217551598498027,0.973429112794932,0.0223891954022988
binary_relevance,config_13,Electricity,5,0.7729057591623036,0.5044229499168665,188.634755,0.058443984491542,0.2205599657101326,0.4094425470992848,0.1978786206896551
binary_relevance,config_13,Electricity,1,0.7478786784618162,0.4792720268973282,184.976362,0.1469757462711741,0.2536928809734831,0.1593072106516331,0.2360216091954023
mlhat,config_13,airlines,5,0.6283835113664435,0.5620982565474877,2753.819443,0.0048064132272265,0.3233130903063645,0.9604432873753465,0.0115011494252873
binary_relevance,config_13,AGR_g,1,0.6541717171717172,0.600574710857405,350.24715000000003,0.1220043097910514,0.2628215372063952,0.5016790497658721,0.2725618390804598
binary_relevance,config_13,AGR_g,5,0.7225858585858586,0.7040309470279411,434.914626,0.0234503205531214,0.2265964378788313,0.5149854270614163,0.1722993103448275
binary_relevance,config_13,AGR_a,1,0.612919191919192,0.6019409298560616,334.540043,0.1486324031794102,0.2713427216063472,0.5829998748947512,0.265633448275862
binary_relevance,config_13,AGR_a,5,0.7245252525252526,0.7244580576262485,405.036137,0.0345633935750927,0.2383963227063983,0.4555613922626805,0.2367779310344827
binary_relevance,config_13,LED_a,1,0.5155656565656566,0.5021353229793284,334.672678,0.0530813226787373,0.2276941791634059,0.142156595831753,0.1825297701149425
binary_relevance,config_13,LED_a,5,0.6189191919191919,0.6154310585519491,492.558468,0.02643266601815,0.2531111282091383,0.1549268772855848,0.0876311494252873
binary_relevance,config_13,LED_g,1,0.4246666666666667,0.4096434000324084,316.199908,0.0881611392816427,0.2148755405288785,0.1112037713337609,0.1558166666666666
binary_relevance,config_13,LED_g,5,0.5908181818181818,0.5856393632777654,462.917742,0.0316183387667547,0.2462572752670896,0.0013798804570638,0.0813044827586206
binary_relevance,config_13,RBF_m,1,0.7722525252525253,0.7518919102981056,400.282873,0.0706856865584159,0.2274375738267083,0.1982881311442657,0.1237679310344827
binary_relevance,config_13,RBF_m,5,0.8237979797979798,0.8071700801609195,487.903197,0.0337931645666645,0.215482383190814,0.1859645117545384,0.1144522988505747
binary_relevance,config_13,RBF_f,1,0.751969696969697,0.728202793193225,400.28424,0.0426900853663967,0.2305322333097016,0.2269292165390303,0.1305132183908046
