dataset,config,label_pct,diversity_measure,seed,inference_mode,training_mode,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
AGR_g,config_7,1,disagreement,42,none,train_C,False,True,False,none,0.677,0.6129,3,99000,228.2,1710728,98010,0.0,0.0,,,1288768
AGR_g,config_7,1,disagreement,43,none,train_C,False,True,False,none,0.6994,0.6608,4,99000,239.7,1809333,98010,0.0,0.0,,,1492117
AGR_g,config_7,1,disagreement,44,none,train_C,False,True,False,none,0.7202,0.7031,3,99000,241.6,2005399,98010,0.0,0.0,,,1824302
AGR_g,config_8,5,disagreement,43,none,train_w,False,True,False,none,0.7734,0.7637,5,99000,232.0,31711,15624,0.3466549798632101,0.9525698829427582,-0.0186019773018355,0.7841445739849087,1622030
AGR_g,config_8,5,disagreement,42,none,train_w,False,True,False,none,0.7466,0.7325,5,99000,273.8,28678,14169,0.3365076112927649,0.9528246511195894,-0.0239910665268463,0.7680667129808033,1475073
AGR_g,config_8,5,disagreement,44,none,train_w,False,True,False,none,0.8029,0.7957,5,99000,209.8,28073,13867,0.4090953403456998,0.9532912590784391,-0.0121466532242835,0.8211167991323877,2155457
AGR_g,config_8,1,disagreement,42,none,train_w,False,True,False,none,0.7023,0.6788,3,99000,184.2,35795,17643,0.3114875988251507,0.9529406425517736,-0.0111757163508547,0.7466410733369853,991027
AGR_g,config_8,1,disagreement,43,none,train_w,False,True,False,none,0.7172,0.6992,2,99000,214.0,43671,19799,0.3228260991073292,0.954258745028986,-0.0068193168320871,0.7669490901338705,1207530
AGR_g,config_8,1,disagreement,44,none,train_w,False,True,False,none,0.7332,0.7209,3,99000,225.8,32556,18901,0.3450323096590191,0.9576928689018728,-0.0063090861952887,0.7909553484751912,1724407
AGR_g,config_9,5,disagreement,43,sqrtAM,train_C,False,True,False,sqrtAM,0.7995,0.7942,4,99000,269.5,1797042,94050,0.0,0.0,,,2359719
AGR_g,config_9,5,disagreement,42,sqrtAM,train_C,False,True,False,sqrtAM,0.8014,0.7952,9,99000,298.5,1826993,94050,0.0,0.0,,,2325428
AGR_g,config_9,1,disagreement,42,sqrtAM,train_C,False,True,False,sqrtAM,0.7124,0.6943,2,99000,239.2,1678070,98010,0.0,0.0,,,1591032
AGR_g,config_9,5,disagreement,44,sqrtAM,train_C,False,True,False,sqrtAM,0.8018,0.7955,10,99000,255.9,1912117,94050,0.0,0.0,,,2774730
AGR_g,config_9,1,disagreement,44,sqrtAM,train_C,False,True,False,sqrtAM,0.7184,0.7026,2,99000,241.4,1664095,98010,0.0,0.0,,,1611560
